Date,Close/Last,Volume,Open,High,Low
05/01/2020,$70.695,34209780,$71.0875,$72.225,$70.2108
04/30/2020,$73.07,37591772,$74.0733,$74.615,$72.93
04/29/2020,$74.615,37916188,$74.1925,$75.145,$73.4375
04/28/2020,$72.84,44290400,$75.75,$76.05,$72.785
04/27/2020,$74.27,47938800,$73.7475,$75.875,$73.5
04/24/2020,$72.3975,35264548,$70.9,$72.4175,$70.15
04/23/2020,$71.0025,42415960,$71.96,$73.2844,$70.75
04/22/2020,$71.5375,48472920,$69.3075,$71.9675,$68.85
04/21/2020,$67.3775,73516000,$70.5775,$71.1925,$66.7775
04/20/2020,$71.7625,44938840,$71.81,$73.375,$71.3175
04/17/2020,$73.08,53912200,$74.5,$74.715,$71.735
04/16/2020,$73.675,74562040,$71.77,$74.75,$71.6375
04/15/2020,$70.21,36614884,$69.3,$71.0418,$68.845
04/14/2020,$70.9875,53094680,$68.75,$71.33,$68.4723
04/13/2020,$67.4625,39840728,$65.1375,$67.55,$64.25
04/09/2020,$65.7375,52624800,$68,$68.23,$65.105
04/08/2020,$66.7375,54244440,$65.8525,$66.9875,$65.15
04/07/2020,$64.7575,78452200,$69.325,$69.5625,$64.325
04/06/2020,$67.1,72788240,$63.81,$67.47,$63.2325
04/03/2020,$60.9775,66321400,$63.49,$63.9075,$59.5975
04/02/2020,$63.8675,67576440,$61.06,$64,$60.5775
04/01/2020,$60.7675,65691320,$63.9125,$65.3825,$60.32
03/31/2020,$65.9,94996040,$66.8,$68.85,$64.4375
03/30/2020,$66.3975,60225000,$63.84,$66.49,$63.3975
03/27/2020,$63.1825,63882960,$62.5,$65.7794,$62.17
03/26/2020,$64.31,69758760,$63.485,$65.555,$62.5
03/25/2020,$61.405,79343080,$63.45,$65.455,$60.915
03/24/2020,$62.295,110164400,$57.25,$63.165,$57.0125
03/23/2020,$53.1725,64387480,$51.4275,$54.12,$49.63
03/20/2020,$51.4375,80463400,$54.75,$57.58,$51.2825
03/19/2020,$53.2425,76551400,$50.49,$54.1825,$48.3475
03/18/2020,$50.705,87426640,$50.0238,$52.485,$45.1702
03/17/2020,$54.3175,83363200,$50.2275,$55.215,$47.75
03/16/2020,$49.1,72697200,$53.1025,$56.525,$48.5
03/13/2020,$60.21,63483760,$57.625,$60.255,$54.9025
03/12/2020,$54.0775,81654160,$56.365,$59.0298,$53.95
03/11/2020,$61.6175,50206760,$63.8638,$64.15,$60.6425
03/10/2020,$65.27,58064880,$64.135,$65.27,$61.4975
03/09/2020,$61.36,61415840,$59.975,$64.85,$59.545
03/06/2020,$66.51,51541240,$66.52,$67.0975,$64.5
03/05/2020,$68.3225,54032760,$69.125,$70.8,$67.875
03/04/2020,$71.1275,59740720,$67.55,$71.2225,$66.8
03/03/2020,$66.4725,65279320,$69.6666,$70.2675,$65.615
03/02/2020,$69.1075,89074560,$69.225,$69.3975,$65.25
02/28/2020,$67.5175,113467520,$60.6138,$68.115,$60.4475
02/27/2020,$63.15,90641480,$63.725,$66.75,$62.2225
02/26/2020,$66.9125,74966160,$65.515,$68.8625,$65.5
02/25/2020,$65.5125,105549760,$69.076,$69.6975,$64.49
02/24/2020,$68.32,85691480,$67.5475,$70.4681,$67
02/21/2020,$73.5175,76929320,$76.0475,$76.3,$72.665
02/20/2020,$77.175,81005040,$78.1912,$79.08,$74.0875
02/19/2020,$78.675,69433120,$75.3725,$78.8525,$75.3714
02/18/2020,$74.1425,62188120,$71.411,$74.3275,$71.215
02/14/2020,$72.4475,104192360,$71.815,$73.7425,$71.5
02/13/2020,$67.695,52801520,$67.5525,$68.37,$67.2775
02/12/2020,$68.135,37464472,$67.5025,$68.2,$67.1119
02/11/2020,$66.9725,63855680,$66.83,$68.125,$66.2075
02/10/2020,$65.7425,52960760,$63.125,$65.75,$63.075
02/07/2020,$62.8975,18975212,$63.16,$63.3825,$62.643
02/06/2020,$63.5613,21828204,$63.035,$63.5625,$62.22
02/05/2020,$62.69,20822008,$62.9975,$63.1,$61.8525
02/04/2020,$61.7825,27154356,$61.5075,$61.975,$61.005
